1024 -0.194454 -0.230442 -0.158466 -0.202642
2048 -0.199346 -0.224923 -0.173769 -0.202642
4096 -0.194327 -0.212393 -0.17626 -0.202642
8192 -0.196023 -0.208831 -0.183214 -0.202642
16384 -0.20126 -0.210376 -0.192144 -0.202642
32768 -0.202444 -0.208881 -0.196007 -0.202642
65536 -0.201851 -0.206399 -0.197304 -0.202642
131072 -0.201886 -0.205103 -0.19867 -0.202642
262144 -0.20234 -0.204616 -0.200063 -0.202642
524288 -0.202476 -0.204086 -0.200866 -0.202642
1.04858e+06 -0.202343 -0.203481 -0.201205 -0.202642
