1024 0 0 0 1.79769e+308
2048 0 0 0 1.79769e+308
4096 0.000464467 -0.000520697 0.00144963 1.79769e+308
8192 0.000464467 -0.000232106 0.00116104 1.79769e+308
16384 0.000348351 -7.82249e-05 0.000774926 1.79769e+308
32768 0.000232234 -1.4061e-05 0.000478529 1.79769e+308
65536 0.000159661 1.52532e-05 0.000304068 1.79769e+308
131072 0.000137889 4.29937e-05 0.000232784 1.79769e+308
262144 0.000163289 9.02703e-05 0.000236308 1.79769e+308
524288 0.000172361 0.000119314 0.000225408 1.79769e+308
1.04858e+06 0.000153311 0.000117934 0.000188687 1.79769e+308
