1024 0.000140465 0.00011395 0.00016698 1.79769e+308
2048 0.000144044 0.000125062 0.000163027 1.79769e+308
4096 0.000141951 0.000128765 0.000155138 1.79769e+308
8192 0.00014678 0.000137152 0.000156409 1.79769e+308
16384 0.000145611 0.000138823 0.000152399 1.79769e+308
32768 0.000142871 0.000138113 0.000147628 1.79769e+308
65536 0.000143398 0.000140023 0.000146773 1.79769e+308
131072 0.000142779 0.000140396 0.000145161 1.79769e+308
262144 0.000142868 0.000141183 0.000144554 1.79769e+308
524288 0.000142451 0.000141262 0.00014364 1.79769e+308
1.04858e+06 0.000142297 0.000141456 0.000143138 1.79769e+308
