0.000976562 37.054 36.3414 37.7666 -71.4378 -574.982 432.106 37.524
0.00195312 37.054 36.3414 37.7666 -17.1874 -268.961 234.586 37.524
0.00390625 37.0541 36.3415 37.7667 9.93822 -115.951 135.827 37.524
0.0078125 37.0544 36.3418 37.767 23.5016 -39.4468 86.45 37.524
0.015625 37.0531 36.3405 37.7657 30.2828 -1.19843 61.764 37.524
0.03125 37.0544 36.3417 37.7672 33.6771 17.9231 49.4312 37.524
0.0625 37.0704 36.3571 37.7836 35.3895 27.4864 43.2926 37.524
0.125 37.1345 36.4191 37.85 36.3057 32.3027 40.3088 37.524
0.25 37.4177 36.6929 38.1424 37.0129 34.9091 39.1166 37.524
0.5 38.5446 37.7803 39.3088 38.3484 37.091 39.6057 37.524
1 43.128 42.174 44.082 43.0449 41.9581 44.1317 37.524
